Location,Temperature (C),Humidity (%),Wind Speed (km/h),Precipitation (mm),Pressure (hPa),Storm Intensity,Storm Duration (hours),Lightning Activity,Outage Duration (hours),Outage Severity
Illinois,28.159305633207644,43.65350827361054,31.725144086968093,323.6188604931961,1037.5881517166792,Thunderstorm,3.731262491911762,85,14.29896067157987,Severe
New York,20.401930241847072,60.653134985826696,43.05046582637979,423.6711628841846,961.8861165909144,Category 1,31.793211930664675,62,10.77993509313353,Moderate
Ohio,1.8937790502590897,14.259207712277922,136.57074392569262,195.4002767300526,1026.0416743796527,Hailstorm,43.23893380537426,62,20.084816752754136,Severe
Georgia,1.4723602257577895,13.710503259915434,75.42252736852882,276.37591661756306,1015.5104364958189,Tropical Storm,46.529773968886374,63,22.68647141072093,Severe
Illinois,6.301560378140589,32.57185016007664,40.35208968666238,388.1553264893228,973.2293241141043,Category 2,10.398345649224744,29,11.702724824013048,Moderate
Virginia,40.09414690333973,72.0731478128161,89.76926373720994,42.39900812317332,1047.390438555561,None,35.94710191717804,97,0.0,Moderate
Florida,20.107816220884924,86.69329730200106,30.250715230124342,429.32273358124195,1007.0354819151231,Hailstorm,44.465781537865425,92,12.54746578242713,Severe
Illinois,30.364795735102817,60.32672919818636,11.159352864627731,78.41522784830252,1040.6877975397135,Category 3,4.385726920772928,9,17.631852709160416,Severe
Ohio,9.060731789910118,57.89194656241172,3.1359531600403,432.2706264487696,1035.9093134206987,Category 2,19.873133207481853,68,16.365386686076135,Severe
Georgia,12.424367386587388,46.20785804123194,142.72935680643843,155.6664358164635,983.3125460522612,Tropical Storm,44.13166880986397,48,6.1252038317584026,Moderate
New York,-3.093893174951175,24.543816036221905,108.69162362146744,163.39142298460925,1003.5956861986813,Category 2,9.733799916231845,38,2.4695930177848964,Moderate
Ohio,-0.578777319808129,20.651869119392877,119.99222224385736,36.974344934850635,993.1368299404671,Category 2,44.82051282181641,33,22.832844985786156,Severe
Ohio,35.504610515438,78.46117850988695,147.13765922682478,442.94981194787476,1020.9077570260076,Hailstorm,25.305219412213365,9,7.004604473875198,Moderate
Florida,22.166124742888513,93.4753196166918,139.74430551201593,87.25520119543478,1008.8042004543428,Category 2,4.794867961802673,8,15.68772374788361,Severe
